date,pred_low,pred_high,actual_low,actual_high,profit,in_range
2023-08-17,1886.7500610351562,1908.0499877929688,1884.0,1902.4000244140625,-0.7190079184863178,False
2023-08-18,1879.3999938964844,1907.0000305175781,1886.0999755859375,1891.800048828125,-0.3,True
2023-08-21,1884.6749572753906,1893.2250671386719,1893.300048828125,1893.5999755859375,-0.3,False
2023-08-22,1893.2250671386719,1893.6749572753906,1892.800048828125,1896.800048828125,-0.3,False
2023-08-23,1891.800048828125,1897.800048828125,1909.5999755859375,1918.5,-0.3,False
2023-08-24,1907.3749694824219,1920.7250061035156,1918.199951171875,1920.800048828125,-0.3,False
2023-08-25,1917.5499267578125,1921.4500732421875,1911.0999755859375,1919.800048828125,-1.3080673881544673,False
2023-08-28,1908.9249572753906,1921.9750671386719,1915.5,1921.5,-0.3,True
2023-08-29,1914.0,1923.0,1916.9000244140625,1936.5,-0.3,False
2023-08-30,1912.0000305175781,1941.3999938964844,1934.5999755859375,1946.4000244140625,-0.2970020617132061,False
2023-08-31,1931.6499633789062,1949.3500366210938,1938.199951171875,1944.4000244140625,-0.3,True
2023-09-01,1936.6499328613281,1945.9500427246094,1936.5999755859375,1950.0,-0.3,False
2023-09-05,1933.2499694824219,1953.3500061035156,1924.699951171875,1934.4000244140625,-1.3883576938453552,False
2023-09-06,1922.2749328613281,1936.8250427246094,1916.300048828125,1925.300048828125,-0.9491084400719725,False
2023-09-07,1914.050048828125,1927.550048828125,1917.5,1921.5,-0.3,True
2023-09-08,1916.5,1922.5,1918.4000244140625,1924.699951171875,-0.3,False
2023-09-11,1916.8250427246094,1926.2749328613281,1921.800048828125,1928.300048828125,-0.3,False
2023-09-12,1920.175048828125,1929.925048828125,1911.300048828125,1920.800048828125,-1.6830809238548357,False
2023-09-13,1908.925048828125,1923.175048828125,1908.9000244140625,1914.5999755859375,-0.3,False
2023-09-14,1907.4750366210938,1916.0249633789062,1903.0,1910.0,-0.3,False
2023-09-15,1901.25,1911.75,1923.5,1927.300048828125,-0.3,False
2023-09-18,1922.5499877929688,1928.2500610351562,1926.4000244140625,1931.5,-0.3,False
2023-09-19,1925.1250305175781,1932.7749938964844,1932.0,1934.0,-0.3,False
2023-09-20,1931.5,1934.5,1929.199951171875,1945.5999755859375,-0.3,False
2023-09-21,1925.0999450683594,1949.6999816894531,1919.199951171875,1924.0,-1.2135946125746602,False
2023-09-22,1917.9999389648438,1925.2000122070312,1925.4000244140625,1925.4000244140625,-0.3,False
2023-09-25,1925.4000244140625,1925.4000244140625,1916.5999755859375,1916.5999755859375,-0.3,False
