test_id,duration_sec,initial_deposit,net_profit,profit_factor,balance_dd_max,equity_dd_max,total_trades,total_deals,profit_trades,loss_trades,gross_profit,gross_loss,recovery_factor,sharpe,largest_profit,largest_loss
test_id,duration_sec,initial_deposit,net_profit,profit_factor,balance_dd_max,equity_dd_max,total_trades,total_deals,profit_trades,loss_trades,gross_profit,gross_loss,recovery_factor,sharpe,largest_profit,largest_loss
V16_baseline_A10_C5,28.4,50 000.00,-674.54,0.95,13 697.28 (26.98%),983.36 (1.95%),333,666,305 (91.59%),28 (8.41%),13 159.45,-13 833.99,-0.69,-5.00,8 325.65,-2 537.13
V16_baseline_A10_C5,28.0,50 000.00,-674.54,0.95,13 697.28 (26.98%),983.36 (1.95%),333,666,305 (91.59%),28 (8.41%),13 159.45,-13 833.99,-0.69,-5.00,8 325.65,-2 537.13
V16_baseline_A10_C5,28.0,50 000.00,-674.54,0.95,13 697.28 (26.98%),983.36 (1.95%),333,666,305 (91.59%),28 (8.41%),13 159.45,-13 833.99,-0.69,-5.00,8 325.65,-2 537.13
V17_wide_A10_C5,54.1,50 000.00,-1 039.92,0.95,15 309.37 (29.50%),1 837.86 (3.62%),791,1582,759 (95.95%),32 (4.05%),18 957.26,-19 997.18,-0.57,-4.64,8 719.15,-2 498.16
V17_wide_A10_C5,56.4,50 000.00,-1 039.92,0.95,15 309.37 (29.50%),1 837.86 (3.62%),791,1582,759 (95.95%),32 (4.05%),18 957.26,-19 997.18,-0.57,-4.64,8 719.15,-2 498.16
V17_wide_A10_C5,56.0,50 000.00,-1 039.92,0.95,15 309.37 (29.50%),1 837.86 (3.62%),791,1582,759 (95.95%),32 (4.05%),18 957.26,-19 997.18,-0.57,-4.64,8 719.15,-2 498.16
V18_sp2_A05_C3,30.3,50 000.00,-159.81,0.98,7 234.35 (14.18%),487.10 (0.97%),343,686,325 (94.75%),18 (5.25%),7 147.59,-7 307.40,-0.33,-5.00,4 348.45,-1 531.43
V18_sp2_A05_C3,30.1,50 000.00,-159.81,0.98,7 234.35 (14.18%),487.10 (0.97%),343,686,325 (94.75%),18 (5.25%),7 147.59,-7 307.40,-0.33,-5.00,4 348.45,-1 531.43
V18_sp2_A05_C3,30.0,50 000.00,-159.81,0.98,7 234.35 (14.18%),487.10 (0.97%),343,686,325 (94.75%),18 (5.25%),7 147.59,-7 307.40,-0.33,-5.00,4 348.45,-1 531.43
V19_sp3_A05_C5,30.0,50 000.00,-283.37,0.96,7 277.15 (14.33%),515.02 (1.03%),205,410,191 (93.17%),14 (6.83%),7 031.74,-7 315.11,-0.55,-5.00,4 461.55,-2 411.03
V19_sp3_A05_C5,30.0,50 000.00,-283.37,0.96,7 277.15 (14.33%),515.02 (1.03%),205,410,191 (93.17%),14 (6.83%),7 031.74,-7 315.11,-0.55,-5.00,4 461.55,-2 411.03
V19_sp3_A05_C5,32.3,50 000.00,-283.37,0.96,7 277.15 (14.33%),515.02 (1.03%),205,410,191 (93.17%),14 (6.83%),7 031.74,-7 315.11,-0.55,-5.00,4 461.55,-2 411.03
V20_baseline_A05_C5,28.1,50 000.00,-78.18,0.99,7 358.00 (14.39%),482.64 (0.96%),510,1020,487 (95.49%),23 (4.51%),7 435.84,-7 514.02,-0.16,-5.00,4 520.45,-2 555.58
