time,open,high,low,close,tick_volume,spread,real_volume
2026-04-30 14:23:00,4640.63,4643.64,4639.87,4640.7,501,130,0
2026-04-30 14:24:00,4640.71,4640.77,4636.4,4636.47,469,130,0
2026-04-30 14:25:00,4636.69,4637.92,4635.6,4636.85,558,130,0
2026-04-30 14:26:00,4636.83,4637.75,4635.56,4635.98,576,130,0
2026-04-30 14:27:00,4634.83,4635.41,4630.52,4630.83,611,130,0
2026-04-30 14:28:00,4630.79,4633.54,4630.46,4630.68,599,130,0
2026-04-30 14:29:00,4630.7,4637.74,4630.67,4637.69,592,130,0
2026-04-30 14:30:00,4637.69,4637.75,4631.69,4631.92,592,130,0
2026-04-30 14:31:00,4631.92,4633.69,4630.56,4630.75,537,130,0
2026-04-30 14:32:00,4630.75,4632.44,4629.73,4630.03,551,130,0
2026-04-30 14:33:00,4630.03,4630.3,4628.46,4629.24,642,130,0
2026-04-30 14:34:00,4629.24,4630.69,4628.35,4630.08,555,130,0
2026-04-30 14:35:00,4630.08,4631.62,4629.39,4630.84,568,130,0
2026-04-30 14:36:00,4631.09,4631.23,4629.24,4630.7,517,130,0
2026-04-30 14:37:00,4630.7,4632.7,4630.55,4630.96,473,130,0
2026-04-30 14:38:00,4630.96,4631.77,4629.4,4630.45,451,130,0
2026-04-30 14:39:00,4630.82,4632.05,4629.02,4629.33,527,130,0
2026-04-30 14:40:00,4629.35,4629.35,4627.39,4628.06,499,130,0
2026-04-30 14:41:00,4628.06,4630.64,4626.9,4629.78,438,130,0
2026-04-30 14:42:00,4629.76,4629.77,4627.78,4628.36,428,130,0
2026-04-30 14:43:00,4628.34,4629.55,4627.25,4628.79,487,130,0
2026-04-30 14:44:00,4628.76,4630.99,4628.75,4629.77,575,130,0
2026-04-30 14:45:00,4629.71,4630.88,4628.86,4629.68,489,130,0
2026-04-30 14:46:00,4629.61,4631.53,4628.66,4631.43,584,130,0
2026-04-30 14:47:00,4631.43,4634.58,4630.92,4634.34,421,130,0
2026-04-30 14:48:00,4634.36,4635.31,4633.73,4635.16,418,130,0
